source,doi,article,authors,year,genus,species,organism.group,life.stage,invitro.invivo,exposure.route,leachate.only,fed,polymer,mix,functional.group,shape,size.category,size.mm,size.min.mm,size.max.mm,type,environment,negative.control,positive.control,dose.particles.mL,dose.particles.mL.min,dose.particles.mL.max,dose.mg.L,dose.mg.kg.sed,dose.mg.kg.food,dose.particles.kg.food,dose.particles.kg.food.min,dose.particles.kg.food.max,dose.percent.sed,dose.particles.m2,dose.mg.m2,dose.percent.food,dose.particles.kg.sed,chem.add,chem.add.dose.mg.L,chem.exp.typ,exposure.duration.d,effect,lvl1,lvl2,lvl3,target.cell.tissue,bio.org,stat.clarity,treatments,replicates,size.valid,shape.valid,polymer.valid,source_1,contaminant.screen,sol.rinse,background.plastics,con.valid,homo.mix,exposure.valid,weather.biofoul,log_dose.mg.L,log_dose.particles.mL,effect_f,Conc,Species,Group
"Rochman,Jacob",10.1016/j.envpol.2016.06.039,65,Qiao,2008,Chlorella,coerulea,Algae,Adult,invitro,food,N,N,PET,n,COOH,cube,2,0.000051,0.0025,0.063,Field,Freshwater,N,N,84000,21000,34000,350,1250,0.0009,0.000012,25000000,35000000,2,365700,0.5,0.01,24000000,mercury,0.020225,co.exp,24,N,alimentary.excretory,oxidative.stress,haemolymph.con,granulocyte,organism,Clear,1,7,N,N,N,commercial,N,N,N,N,N,N,N,2.54406804435028,4.92427928606188,Y,350,Porcellio scaber,Mollusca
Jacob,10.1016/j.envpol.2016.07.017,66,Rainieri,2010,Clarias,corneum,Annelida,Early,invivo,maternal.transfer,Y,Y,PI,N,NH2,fiber,3,0.000052,0.004,0.064,Lab,Marine,Y,Y,100000,43000,68000,400,2500,0.009,0.00002,25000000,35000000,3.8,522400,1,0.1,60000000,nickel,0.04,sorbed,28,Y,behavioral.sense.neuro,photosynthesis,hatching.success,haemocytes,population,Unclear,2,8,Y,Y,Y,lab,Y,Y,Y,Y,Y,Y,Y,2.60205999132796,5,N,400,Porites lutea,Nematoda
Koelmans,10.1016/j.envpol.2016.08.020,67,RedondoHasselerharm,2011,Corbicula,costatum,Bacterium,Juveniles,invitro,sediment,N,N,PLA,Y,SO3,fragment,4,0.000053,0.00464,0.075,Mesocosm,Terrestrial,N,N,104000,85000,130000,490,5000,0.099,0.00012,25000000,35000000,5,1044800,5,0.3,93000000,nonylphenol,0.08,co.exp,30,N,circulatory.respiratory,proteobacteria,hdl.con,haemolymph,subcell,Clear,3,9,N,N,N,N,N,N,N,N,N,N,N,2.69019608002851,5.01703333929878,Y,490,Potamopyrgus antipodarum,Plant
"Koelmans,Jacob",10.1016/j.envpol.2016.09.092,68,Rehse,2012,Crassostrea,crassirostris,Cnidaria,Adult,invivo,water,Y,Y,PMMA,n,COOH,sphere,5,0.000055,0.005,0.1,Field,Freshwater,Y,Y,140000,170000,270000,500,10000,100,0.00035,25000000,35000000,7,26800000,10,0.4,232500000,paraquat,0.1,sorbed,31,Y,community,reproduction,heart.rate,head,tissue,Unclear,4,10,Y,Y,Y,commercial,Y,Y,Y,Y,Y,Y,Y,2.69897000433602,5.14612803567824,N,500,Raphidocelis subcapitata,Rotifera
"Koelmans,Rochman",10.1016/j.envpol.2016.09.096,69,Reichert,2013,Crepidula,damicornis,Crustacea,Early,invitro,food,N,N,PP,N,NH2,cube,1,0.00007,0.006,0.106,Lab,Marine,N,N,168000,340000,540000,1000,20000,300,3333.3333333333,25000000,35000000,7.4,500,0.5,4,94,pbde47,0.126,co.exp,35,N,fitness,respiration,hemocyte.con,head.kidney.leuk,cell,Clear,5,11,N,N,N,lab,N,N,N,N,N,N,N,3,5.22530928172586,Y,1000,Scenedesmus obliquus,(Missing)
"Koelmans,Rochman,Jacob",10.1016/j.envpol.2016.10.037,70,Revel,2014,Cyanobacteria,diversicolor,Echinoderm,Juveniles,invivo,maternal.transfer,Y,Y,PS,Y,SO3,fiber,2,0.0000963,0.00656,0.138,Mesocosm,Terrestrial,Y,Y,900000,680000,1100000,1100,50000,500,40000,25000000,35000000,28,2600,1,10,940,pcb,0.16,sorbed,36,Y,immune,sexhormones,hepatic.somatic.index,heart,organism,Unclear,6,12,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,3.04139268515822,5.95424250943933,N,1100,Scrobicularia plana,Algae
Rochman,10.1016/j.envpol.2016.11.005,71,Ribeiro,2015,Cyprinodon,dubia,Fish,Adult,invitro,sediment,N,N,PUR,n,COOH,fragment,3,0.0001,0.008,0.15,Field,Freshwater,N,N,1000000,39000000,25000000000,1500,70000,496000,100000000,25000000,35000000,45,2610,5,30,2350,phenanthrene,0.2,co.exp,39,N,metabolism,shoaling,hepatopancreas.water.con,hyalinocyte,population,Clear,7,15,N,N,N,commercial,N,N,N,N,N,N,N,3.17609125905568,6,Y,1500,Sebastes schlegelii,Annelida
"Rochman,Jacob",10.1016/j.envpol.2017.01.047,72,Rist,2016,Cyprinus,duebeni,Insect,Early,invivo,water,Y,Y,PVC,N,NH2,sphere,4,0.000159,0.0087,0.18,Lab,Marine,Y,Y,1200000,78000000,50000000000,2000,100000,1084000,1000000000,25000000,35000000,60,5200,10,70,110000,pyrene,0.252,sorbed,42,Y,microbiome,stress,hex.mrnaexpression,jaw,subcell,Unclear,10,20,Y,Y,Y,lab,Y,Y,Y,Y,Y,Y,Y,3.30102999566398,6.07918124604763,N,2000,Seletonema costatum,Bacterium
Jacob,10.1016/j.envpol.2017.05.047,73,Rochman,2017,Danio,edulis,Mollusca,Juveniles,invitro,food,N,N,BIO,Y,SO3,cube,5,0.00018,0.01,0.212,Mesocosm,Terrestrial,N,N,1460000,1600000000,100000000000,2160,200000,0.0009,0.000012,25000000,35000000,0.005,5220,0.5,0.01,2400000,triclosan,0.32,co.exp,44,N,stress,vision.system,hk.mrnaexpression,kidney,tissue,Clear,1,24,N,N,N,N,N,N,N,N,N,N,N,3.33445375115093,6.16435285578444,Y,2160,Sparus aurata,Cnidaria
Koelmans,10.1016/j.envpol.2017.05.048,74,RodriguezSeijo,2018,Daphnia,elegans,Nematoda,Adult,invivo,maternal.transfer,Y,Y,EVA,n,COOH,fiber,1,0.0002,0.011,0.25,Field,Freshwater,Y,Y,1800000,3100000000,200000000000,2500,280000,0.009,0.00002,25000000,35000000,0.02,156700,1,0.1,9300000,bap,0.4,sorbed,45,Y,alimentary.excretory,abundance,hk1.mrnaexpression,kidney.neutrophil,cell,Unclear,2,1,Y,Y,Y,commercial,Y,Y,Y,Y,Y,Y,Y,3.39794000867204,6.25527250510331,N,2500,Sphaerium corneum,Crustacea
"Koelmans,Jacob",10.1016/j.envpol.2017.07.050,75,Romano,2019,Diatoms,emarginata,Plant,Early,invitro,sediment,N,N,LTX,N,NH2,fragment,2,0.0004,0.01148,0.3,Lab,Marine,N,N,9000000,6200000000,400000000000,5000,300000,0.099,0.00012,25000000,35000000,0.05,261200,5,0.3,24000000,bpa,0.64,co.exp,47,N,behavioral.sense.neuro,actinobacteria,hsp70.mrnaexpression,leaf,organism,Clear,3,2,N,N,N,lab,N,N,N,N,N,N,N,3.69897000433602,6.95424250943933,Y,5000,Tetraselmis chuii,Echinoderm
"Koelmans,Rochman",10.1016/j.envpol.2017.08.088,76,Seoane,2020,Dicentrachus,faveolata,Rotifera,Juveniles,invivo,water,Y,Y,PA,Y,SO3,sphere,3,0.0005,0.012,0.31,Mesocosm,Terrestrial,Y,Y,14600000,12000000000,800000000000,10000,400000,100,0.00035,25000000,35000000,0.074,365700,10,0.4,60000000,cefalexin,1,sorbed,48,Y,circulatory.respiratory,aggressivity,hsp90.mrnaexpression,liver,population,Unclear,4,3,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,4,7.16435285578444,N,10000,Thalassiosira pseudonana,Fish
"Koelmans,Rochman,Jacob",10.1016/j.envpol.2017.10.015,77,Silva,2008,Dicentrarchus,finmarchicus,Algae,Adult,invitro,food,N,N,PC,n,COOH,cube,4,0.001,0.014,0.3107,Field,Freshwater,N,N,18000000,21000,34000,20000,450000,300,3333.3333333333,25000000,35000000,0.2,522400,0.5,4,93000000,chromium,1.3,co.exp,50,N,community,ammonia.excretion,hyalinocyte.size,mantle,subcell,Clear,5,4,N,N,N,commercial,N,N,N,N,N,N,N,4.30102999566398,7.25527250510331,Y,20000,Tigriopus fulvus,Insect
Rochman,10.1016/j.envpol.2017.10.095,78,Sjollema,2010,Dreissena,flos-aquae,Annelida,Early,invivo,maternal.transfer,Y,Y,PE,N,NH2,fiber,5,0.0016,0.015,0.316,Lab,Marine,Y,Y,110000000,43000,68000,40000,600000,500,40000,25000000,35000000,0.5,1044800,1,10,232500000,copper,1.8,sorbed,56,Y,fitness,bacteriodetes,hylaniocyte.oxidative.activity,muscle,tissue,Unclear,6,5,Y,Y,Y,lab,Y,Y,Y,Y,Y,Y,Y,4.60205999132796,8.04139268515823,N,40000,Tigriopus japonicus,Mollusca
"Rochman,Jacob",10.1016/j.envpol.2017.11.014,79,Straub,2011,Dunaliella,fluminea,Bacterium,Juveniles,invitro,sediment,N,N,PET,Y,SO3,fragment,1,0.002,0.01798,0.35,Mesocosm,Terrestrial,N,N,146000000,85000,130000,80000,1,496000,100000000,25000000,35000000,0.74,26800000,5,30,94,ee2,2,co.exp,60,N,immune,blood,id.mrnaexpression,plasma,cell,Clear,7,6,N,N,N,N,N,N,N,N,N,N,N,4.90308998699194,8.16435285578444,Y,80000,Tisochrysis lutea,Nematoda
Jacob,10.1016/j.envpol.2017.11.029,80,Sun,2012,Echinogammarus,fossarum,Cnidaria,Adult,invivo,water,Y,Y,PI,n,COOH,sphere,2,0.0025,0.0187,0.3545,Field,Freshwater,Y,Y,180000000,170000,270000,100000,10,1084000,1000000000,25000000,35000000,1,500,10,70,940,mercury,2.5,sorbed,61,Y,metabolism,body.condition,idh.activity,root,organism,Unclear,10,7,Y,Y,Y,commercial,Y,Y,Y,Y,Y,Y,Y,5,8.25527250510331,N,100000,Tripneustes gratilla,Plant
Koelmans,10.1016/j.envpol.2017.11.040,81,Sussarellu,2013,Eisenia,franciscana ,Crustacea,Early,invitro,food,N,N,PLA,N,NH2,cube,3,0.0026,0.02,0.35856,Lab,Marine,N,N,291000000,340000,540000,0.000008,25,0.0009,0.000012,25000000,35000000,2,2600,0.5,0.01,2350,nickel,3,co.exp,69,N,microbiome,boldness,idp.mrnaexpression,serum,population,Clear,1,8,N,N,N,lab,N,N,N,N,N,N,N,-5.09691001300806,8.46389298898591,Y,0.000008,Tubifex NA,Rotifera
"Koelmans,Jacob",10.1016/j.envpol.2017.12.082,82,Tang,2014,Ennucula,fulvus,Echinoderm,Juveniles,invivo,maternal.transfer,Y,Y,PMMA,Y,SO3,fiber,4,0.003,0.025,0.4,Mesocosm,Terrestrial,Y,Y,1100000000,680000,1100000,0.0001,50,0.009,0.00002,25000000,35000000,3.8,2610,1,0.1,110000,nonylphenol,3.9,sorbed,72,Y,stress,brain.histo,ifn.mrnaexpression,whole.body,subcell,Unclear,2,9,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,-4,9.04139268515823,N,0.0001,Zacco temminckii,(Missing)
"Koelmans,Rochman",10.1016/j.envpol.2017.12.088,83,Tosetto,2015,Eriocheir,galeata,Fish,Adult,invitro,sediment,N,N,PP,n,COOH,fragment,5,0.0035,0.03,0.41,Field,Freshwater,N,N,1460000000,39000000,25000000000,0.00025,62.5,0.099,0.00012,25000000,35000000,5,5200,5,0.3,2400000,paraquat,4,co.exp,78,N,alimentary.excretory,burrowing,ifny.mrnaexpression,blood,tissue,Clear,3,10,N,N,N,commercial,N,N,N,N,N,N,N,-3.60205999132796,9.16435285578444,Y,0.00025,Abra nitida,Algae
"Koelmans,Rochman,Jacob",10.1016/j.envpol.2018.02.006,84,VanCauwenberghe,2016,Gammarus,galloprovincialis,Insect,Early,invivo,water,Y,Y,PS,N,NH2,sphere,1,0.004,0.032,0.478,Lab,Marine,Y,Y,11000000000,78000000,50000000000,0.00055,125,100,0.00035,25000000,35000000,7,5220,10,0.4,9300000,pbde47,5,sorbed,90,Y,behavioral.sense.neuro,carb.metabolism,igm.con,brain,cell,Unclear,4,11,Y,Y,Y,lab,Y,Y,Y,Y,Y,Y,Y,-3.25963731050576,10.0413926851582,N,0.00055,Acanthochromis polyacanthus,Annelida
Rochman,10.1016/j.envpol.2018.03.001,85,von Moos,2017,Halomonas,gariepinus,Mollusca,Juveniles,invitro,food,N,N,PUR,Y,SO3,cube,2,0.005,0.038,0.5,Mesocosm,Terrestrial,N,N,14600000000,1600000000,100000000000,0.0008,250,300,3333.3333333333,25000000,35000000,7.4,156700,0.5,4,24000000,pcb,8,co.exp,95,N,circulatory.respiratory,chemokines.cytokines,igm.mrnaexpression,coelomocytes,organism,Clear,5,12,N,N,N,N,N,N,N,N,N,N,N,-3.09691001300806,10.1643528557844,Y,0.0008,Acartia clausi,Bacterium
"Rochman,Jacob",10.1016/j.envpol.2018.04.069,86,Vroom,2018,Hediste,gigas,Nematoda,Adult,invivo,maternal.transfer,Y,Y,PVC,n,COOH,fiber,3,0.006,0.04,0.516,Field,Freshwater,Y,Y,73100000000,3100000000,200000000000,0.001,500,500,40000,25000000,35000000,28,261200,1,10,60000000,phenanthrene,10,sorbed,114,Y,community,circulatory,il10.mrnaexpression,digestive.tract,population,Unclear,6,15,Y,Y,Y,commercial,Y,Y,Y,Y,Y,Y,Y,-3,10.8639173769579,N,0.001,Acipenser transmontanus,Cnidaria
Jacob,10.1016/j.envpol.2018.06.035,87,Wan,2019,Heliopora,gonionotus,Plant,Early,invitro,sediment,N,N,BIO,N,NH2,fragment,4,0.008,0.062,0.5361,Lab,Marine,N,N,90000000000,6200000000,400000000000,0.00139,1000,496000,100000000,25000000,35000000,45,365700,5,30,93000000,pyrene,18.9,co.exp,168,N,fitness,detoxification,il17.mrnaexpression,embryo,subcell,Clear,7,20,N,N,N,lab,N,N,N,N,N,N,N,-2.85698519974591,10.9542425094393,Y,0.00139,Acropora muricata,Crustacea
Koelmans,10.1016/j.envpol.2018.08.045,88,Wang,2020,Heterocapsa,gratilla,Rotifera,Juveniles,invivo,water,Y,Y,EVA,Y,SO3,sphere,5,0.0096,0.063,0.6,Mesocosm,Terrestrial,Y,Y,146000000000,12000000000,800000000000,0.0025,1250,1084000,1000000000,25000000,35000000,60,522400,10,70,232500000,triclosan,28.4,sorbed,450,Y,immune,development,il1a.mrnaexpression,gall.bladder,tissue,Unclear,10,24,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,-2.60205999132796,11.1643528557844,N,0.0025,Amphibalanus amphitrite,Echinoderm
"Koelmans,Jacob",10.1016/j.envpol.2018.08.084,89,Watts,2008,Hyalella,helgolandicus,Algae,Adult,invitro,food,N,N,LTX,n,COOH,cube,1,0.01,0.065,0.6016,Field,Freshwater,N,N,291000000000,21000,34000,0.00396,2500,0.0009,0.000012,25000000,35000000,0.005,1044800,0.5,0.01,94,bap,0.0002,co.exp,0.02,N,metabolism,digestion,il1b.mrnaexpression,gills,cell,Clear,1,1,N,N,N,commercial,N,N,N,N,N,N,N,-2.40230481407449,11.4638929889859,Y,0.00396,Arenicola marina,Fish
"Koelmans,Rochman",10.1016/j.envpol.2018.10.024,90,Weber,2010,Hydra,japonicus,Annelida,Early,invivo,maternal.transfer,Y,Y,PA,N,NH2,fiber,2,0.015,0.068,0.704,Lab,Marine,Y,Y,731000000000,43000,68000,0.005,5000,0.009,0.00002,25000000,35000000,0.02,26800000,1,0.1,940,bpa,0.001,sorbed,0.03,Y,microbiome,digestive.enzymes,il413a.mrnaexpression,gonad,organism,Unclear,2,2,Y,Y,Y,lab,Y,Y,Y,Y,Y,Y,Y,-2.30102999566398,11.8639173769579,N,0.005,Artemia franciscana ,Insect
"Koelmans,Rochman,Jacob",10.1016/j.envpol.2018.11.038,91,Wegner,2011,Idotea,koreanus,Bacterium,Juveniles,invitro,sediment,N,N,PC,Y,SO3,fragment,3,0.02,0.08,0.707,Mesocosm,Terrestrial,N,N,9300000000000,85000,130000,0.0055,10000,0.099,0.00012,25000000,35000000,0.05,500,5,0.3,2350,cefalexin,0.002,co.exp,0.04,N,stress,digestive.tract.histo,il6.mrnaexpression,granulocyte,population,Clear,3,3,N,N,N,N,N,N,N,N,N,N,N,-2.25963731050576,12.9684829485539,Y,0.0055,Artemia parthenogenetica,Mollusca
Rochman,10.1016/j.envpol.2019.01.114,92,Welden.Cowie,2012,Karenia,krefftii,Cnidaria,Adult,invivo,water,Y,Y,PE,n,COOH,sphere,4,0.0228,0.09,0.95,Field,Freshwater,Y,Y,6390000000000000000,170000,270000,0.008,20000,100,0.00035,25000000,35000000,0.074,2600,10,0.4,110000,chromium,0.01,sorbed,0.083,Y,alimentary.excretory,diversity,il8.mrnaexpression,haemocytes,subcell,Unclear,4,4,Y,Y,Y,commercial,Y,Y,Y,Y,Y,Y,Y,-2.09691001300806,18.8055008581584,N,0.008,Asellus aquaticus,Nematoda
"Rochman,Jacob",10.1016/j.envpol.2019.03.085,93,Wright,2013,Lates,labrax,Crustacea,Early,invitro,food,N,N,PET,N,NH2,cube,5,0.0234,0.1,1,Lab,Marine,N,N,12780000000000000000,340000,540000,0.01,50000,300,3333.3333333333,25000000,35000000,0.2,2610,0.5,4,2400000,copper,0.016,co.exp,0.125,N,behavioral.sense.neuro,feeding,ila.con,haemolymph,tissue,Clear,5,5,N,N,N,lab,N,N,N,N,N,N,N,-2,19.1065308538224,Y,0.01,Atactodea striata,Plant
Jacob,10.1016/j.envpol.2019.04.142,94,Wu,2014,Lemna,latipes,Echinoderm,Juveniles,invivo,maternal.transfer,Y,Y,PI,Y,SO3,fiber,1,0.025,0.125,1.175,Mesocosm,Terrestrial,Y,Y,19170000000000000000,680000,1100000,0.0111,70000,500,40000,25000000,35000000,0.5,5200,1,10,9300000,ee2,0.02,sorbed,0.16,Y,circulatory.respiratory,firmicutes,inflam.infiltrate,head,cell,Unclear,6,6,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,-1.95467702121334,19.2826221128781,N,0.0111,Barbodes gonionotus,Rotifera
Koelmans,10.1016/j.envpol.2019.113074,95,Xu,2015,Lophelia,lividus,Fish,Adult,invitro,sediment,N,N,PLA,n,COOH,fragment,2,0.028,0.15,1.4,Field,Freshwater,N,N,0.009,39000000,25000000000,0.0184,100000,496000,100000000,25000000,35000000,0.74,5220,5,30,24000000,mercury,0.020225,co.exp,0.25,N,community,gall.bladder.histo,ingestion.rate,head.kidney.leuk,organism,Clear,7,7,N,N,N,commercial,N,N,N,N,N,N,N,-1.73518217699046,-2.04575749056068,Y,0.0184,Bathygobius krefftii,(Missing)
"Koelmans,Jacob",10.1016/j.envpol.2019.113259,96,Yin,2016,Lumbribulus,lutea,Insect,Early,invivo,water,Y,Y,PMMA,N,NH2,sphere,3,0.03,0.18,2,Lab,Marine,Y,Y,0.01,78000000,50000000000,0.02,200000,1084000,1000000000,25000000,35000000,1,156700,10,70,60000000,nickel,0.04,sorbed,0.333,Y,fitness,gen.metabolism,inhibitory.rate,heart,population,Unclear,10,8,Y,Y,Y,lab,Y,Y,Y,Y,Y,Y,Y,-1.69897000433602,-2,N,0.02,Brachionus koreanus,Algae
"Koelmans,Rochman",10.1016/j.envres.2016.07.024,97,Yu,2017,Lumbricus,maenas,Mollusca,Juveniles,invitro,food,N,N,PP,Y,SO3,cube,4,0.0327,0.25,2.5,Mesocosm,Terrestrial,N,N,0.0203,1600000000,100000000000,0.023,280000,0.0009,0.000012,25000000,35000000,2,261200,0.5,0.01,93000000,nonylphenol,0.08,co.exp,0.5,N,immune,gill.histo,instar.develop.time,hyalinocyte,subcell,Clear,1,9,N,N,N,N,N,N,N,N,N,N,N,-1.63827216398241,-1.69250396208679,Y,0.023,Brachionus plicatilis,Annelida
"Koelmans,Rochman,Jacob",10.1016/j.envres.2017.12.019,98,Zhang,2018,Lytechinus,magna,Nematoda,Adult,invivo,maternal.transfer,Y,Y,PS,n,COOH,fiber,5,0.034,0.42,5,Field,Freshwater,Y,Y,0.1,3100000000,200000000000,0.025,300000,0.009,0.00002,25000000,35000000,3.8,365700,1,0.1,232500000,paraquat,0.1,sorbed,1,Y,metabolism,gonad.histo,intermolt.time,jaw,tissue,Unclear,2,10,Y,Y,Y,commercial,Y,Y,Y,Y,Y,Y,Y,-1.60205999132796,-1,N,0.025,Caenorhabditis elegans,Bacterium
Rochman,10.1016/j.fsi.2017.07.006,99,Zhao,2019,Macroalgae,margaritifera,Plant,Early,invitro,sediment,N,N,PUR,N,NH2,fragment,1,0.035,1,0.004,Lab,Marine,N,N,0.25,6200000000,400000000000,0.03125,400000,0.099,0.00012,25000000,35000000,5,522400,5,0.3,94,pbde47,0.126,co.exp,2,N,microbiome,growth,intestinal.ca.con,kidney,cell,Clear,3,11,N,N,N,lab,N,N,N,N,N,N,N,-1.50514997831991,-0.602059991327962,Y,0.03125,Calanus finmarchicus,Cnidaria
"Rochman,Jacob",10.1016/j.jhazmat.2018.07.101,100,Ziajahromi,2020,Microalgae,marina,Rotifera,Juveniles,invivo,water,Y,Y,PVC,Y,SO3,sphere,2,0.036,3,0.005,Mesocosm,Terrestrial,Y,Y,0.27,12000000000,800000000000,0.032,450000,100,0.00035,25000000,35000000,7,1044800,10,0.4,940,pcb,0.16,sorbed,3,Y,stress,immune.cells,ion.exch.ca,kidney.neutrophil,organism,Unclear,4,12,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,-1.49485002168009,-0.568636235841013,N,0.032,Calanus helgolandicus,Crustacea
Jacob,10.1016/j.jhazmat.2018.07.110,101,Aljaibachi.Callaghan,2008,Microcystis,marinus,Algae,Adult,invitro,food,N,N,BIO,n,COOH,cube,3,0.04,0,0.006,Field,Freshwater,N,N,0.35,21000,34000,0.0396,600000,300,3333.3333333333,25000000,35000000,7.4,26800000,0.5,4,2350,phenanthrene,0.2,co.exp,4,N,alimentary.excretory,immune.other,ion.exch.k,leaf,population,Clear,5,15,N,N,N,commercial,N,N,N,N,N,N,N,-1.40230481407449,-0.455931955649724,Y,0.0396,Carassius auratus,Echinoderm
Koelmans,10.1016/j.jhazmat.2019.04.039,102,Asmonaite,2010,Montastraea,melastigma,Annelida,Early,invivo,maternal.transfer,Y,Y,EVA,N,NH2,fiber,4,0.0402,0.00031,0.0085,Lab,Marine,Y,Y,0.5,43000,68000,0.04,1,500,40000,25000000,35000000,28,500,1,10,110000,pyrene,0.252,sorbed,5,Y,behavioral.sense.neuro,intestinal.permeability,ion.exch.na,liver,subcell,Unclear,6,20,Y,Y,Y,lab,Y,Y,Y,Y,Y,Y,Y,-1.39794000867204,-0.301029995663981,N,0.04,Carassius carassius,Fish
"Koelmans,Jacob",10.1016/j.jhazmat.2019.120861,103,Au,2011,Multiple,microps,Bacterium,Juveniles,invitro,sediment,N,N,LTX,Y,SO3,fragment,5,0.045,0.0004,0.01,Mesocosm,Terrestrial,N,N,0.54,85000,130000,0.046,10,496000,100000000,25000000,35000000,45,2600,5,30,2400000,triclosan,0.32,co.exp,6,N,circulatory.respiratory,kidney.histo,ion.flow,mantle,tissue,Clear,7,24,N,N,N,N,N,N,N,N,N,N,N,-1.33724216831843,-0.267606240177031,Y,0.046,Carcinus maenas,Insect
"Koelmans,Rochman",10.1016/j.marenvres.2015.06.008,104,Avio,2012,Mytilus,mikimotoi,Cnidaria,Adult,invivo,water,Y,Y,PA,n,COOH,sphere,1,0.05,0.001,0.012,Field,Freshwater,Y,Y,0.68,170000,270000,0.05,25,1084000,1000000000,25000000,35000000,60,2610,10,70,9300000,bap,0.4,sorbed,7,Y,community,lipid.metabolism,ion.permeability,muscle,cell,Unclear,10,1,Y,Y,Y,commercial,Y,Y,Y,Y,Y,Y,Y,-1.30102999566398,-0.167491087293764,N,0.05,Ceriodaphnia dubia,Mollusca
"Koelmans,Rochman,Jacob",10.1016/j.marenvres.2015.09.009,105,Barboza,2013,Nephrops,minor,Crustacea,Early,invitro,food,N,N,PC,N,NH2,cube,2,0.051,0.0014,0.013,Lab,Marine,N,N,0.73,340000,540000,0.055,50,0.0009,0.000012,25000000,35000000,0.005,5200,0.5,0.01,24000000,bpa,0.64,co.exp,8,N,fitness,liver.histo,ion.trans,plasma,organism,Clear,1,2,N,N,N,lab,N,N,N,N,N,N,N,-1.25963731050576,-0.136677139879544,Y,0.055,Chaetoceros neogracile,Nematoda
Rochman,10.1016/j.marpolbul.2014.12.050,106,Batel,2014,Nitocra,muricata,Echinoderm,Juveniles,invivo,maternal.transfer,Y,Y,PE,Y,SO3,fiber,3,0.0545,0.002,0.015,Mesocosm,Terrestrial,Y,Y,0.8,680000,1100000,0.0625,62.5,0.009,0.00002,25000000,35000000,0.02,5220,1,0.1,60000000,cefalexin,1,sorbed,9,Y,immune,liver.kidney.products,jaw.tissue.damage,root,population,Unclear,2,3,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,-1.20411998265592,-0.0969100130080564,N,0.0625,Chironomus riparius,Plant
"Rochman,Jacob",10.1016/j.marpolbul.2016.07.006,107,Beiras,2015,Oncorhynchus,mykiss,Fish,Adult,invitro,sediment,N,N,PET,n,COOH,fragment,4,0.055,0.0025,0.0176,Field,Freshwater,N,N,1,39000000,25000000000,0.08,125,0.099,0.00012,25000000,35000000,0.05,156700,5,0.3,93000000,chromium,1.3,co.exp,10,N,metabolism,locomotion,jnk.mrnaexpression,serum,subcell,Clear,3,4,N,N,N,commercial,N,N,N,N,N,N,N,-1.09691001300806,0,Y,0.08,Chlamydomas reinhardtii,Rotifera
Jacob,10.1016/j.marpolbul.2016.12.027,108,Bejgarn,2016,Orbicella,nana,Insect,Early,invivo,water,Y,Y,PI,N,NH2,sphere,5,0.05769,0.004,0.02,Lab,Marine,Y,Y,1.1,78000000,50000000000,0.083,250,100,0.00035,25000000,35000000,0.074,261200,10,0.4,232500000,copper,1.8,sorbed,11,Y,microbiome,mortality,jump.freq,whole.body,tissue,Unclear,4,5,Y,Y,Y,lab,Y,Y,Y,Y,Y,Y,Y,-1.08092190762393,0.0413926851582251,N,0.083,Chlamydomonas reinhardtii,(Missing)
Koelmans,10.1016/j.marpolbul.2017.06.078,109,Bergami,2017,Oreochromis,neogracile,Mollusca,Juveniles,invitro,food,N,N,PLA,Y,SO3,cube,1,0.059,0.00464,0.025,Mesocosm,Terrestrial,N,N,1.4,1600000000,100000000000,0.092,500,300,3333.3333333333,25000000,35000000,0.2,365700,0.5,4,94,ee2,2,co.exp,12,N,stress,nervous.system,jump.height,blood,cell,Clear,5,6,N,N,N,N,N,N,N,N,N,N,N,-1.03621217265444,0.146128035678238,Y,0.092,Chlorella NA,Algae
"Koelmans,Jacob",10.1016/j.marpolbul.2017.10.072,110,Besseling,2018,Oryzias,niloticus,Nematoda,Adult,invivo,maternal.transfer,Y,Y,PMMA,n,COOH,fiber,2,0.06305,0.005,0.032,Field,Freshwater,Y,Y,2.1,3100000000,200000000000,0.1,1000,500,40000,25000000,35000000,0.5,522400,1,10,940,mercury,2.5,sorbed,14,Y,alimentary.excretory,oxidative.stress,kidney.histo,brain,organism,Unclear,6,7,Y,Y,Y,commercial,Y,Y,Y,Y,Y,Y,Y,-1,0.322219294733919,N,0.1,Chlorella pyrenoidosa,Annelida
"Koelmans,Rochman",10.1016/j.marpolbul.2018.02.039,111,Bhattacharya,2019,Ostrea,nitida,Plant,Early,invitro,sediment,N,N,PP,N,NH2,fragment,3,0.065,0.006,0.038,Lab,Marine,N,N,4,6200000000,400000000000,0.125,1250,496000,100000000,25000000,35000000,0.74,1044800,5,30,2350,nickel,3,co.exp,20,N,behavioral.sense.neuro,photosynthesis,labilization.period,coelomocytes,population,Clear,7,8,N,N,N,lab,N,N,N,N,N,N,N,-0.903089986991944,0.602059991327962,Y,0.125,Chlorella vulgaris,Bacterium
